param_selector__C,param_selector__l1_ratio,param_selector__top_k,mean_test_score,std_test_score,rank_test_score
27.8256,0.7,20,0.8166666666666667,0.05374838498865698,34
27.8256,0.7,50,0.85,0.07149203529842404,18
27.8256,0.9,5,0.78,0.08393118874676114,55
27.8256,0.9,10,0.78,0.11125546178852427,55
27.8256,0.9,20,0.76,0.047842333648024385,75
27.8256,0.9,50,0.8733333333333334,0.09104333522498441,9
100.0,0.1,5,0.6166666666666667,0.1552775293180282,132
100.0,0.1,10,0.71,0.1565602475442317,119
100.0,0.1,20,0.7799999999999999,0.08781293248212994,66
100.0,0.1,50,0.8700000000000001,0.09333333333333332,12
100.0,0.3,5,0.6166666666666667,0.1552775293180282,132
100.0,0.3,10,0.71,0.1565602475442317,119
100.0,0.3,20,0.8,0.11879019787470309,45
100.0,0.3,50,0.85,0.1256096245427785,18
100.0,0.5,5,0.67,0.18421002506197465,130
100.0,0.5,10,0.7633333333333333,0.09392668535736913,71
100.0,0.5,20,0.7966666666666666,0.08844332774281068,48
100.0,0.5,50,0.85,0.1256096245427785,18
100.0,0.7,5,0.7066666666666668,0.16213848676020412,122
100.0,0.7,10,0.7466666666666667,0.12174654911833116,86
100.0,0.7,20,0.8166666666666667,0.1164283279771532,34
100.0,0.7,50,0.89,0.06463573143221774,1
100.0,0.9,5,0.6866666666666666,0.16172679294277603,128
100.0,0.9,10,0.7266666666666666,0.13021349989749742,115
100.0,0.9,20,0.8166666666666667,0.1164283279771532,34
100.0,0.9,50,0.8666666666666666,0.07958224257542214,14
