param_clf__shrink_threshold,param_selector__C,param_selector__l1_ratio,param_selector__top_k,mean_test_score,std_test_score,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_fit_time,mean_score_time
,0.599484,0.7,20,0.6533333333333334,0.06616477747093069,400,0.7166666666666667,0.7333333333333334,0.6333333333333333,0.55,0.6333333333333333,0.1422130584716797,0.0012317657470703124
,0.599484,0.7,50,0.7066666666666667,0.12454361128179604,159,0.7166666666666667,0.9166666666666667,0.6166666666666667,0.7333333333333334,0.55,0.14340381622314452,0.0012010097503662109
,0.599484,0.9,5,0.66,0.06463573143221772,358,0.65,0.65,0.55,0.7166666666666667,0.7333333333333334,0.12563114166259765,0.0012443065643310547
,0.599484,0.9,10,0.67,0.1318247995552346,318,0.7333333333333334,0.8166666666666667,0.7333333333333334,0.43333333333333335,0.6333333333333333,0.12410249710083007,0.0011898994445800782
,0.599484,0.9,20,0.73,0.05312459150169741,73,0.7166666666666667,0.8166666666666667,0.7333333333333334,0.65,0.7333333333333334,0.12425422668457031,0.0012516021728515626
,0.599484,0.9,50,0.6866666666666666,0.08124038404635958,259,0.7166666666666667,0.8333333333333333,0.6166666666666667,0.6333333333333333,0.6333333333333333,0.12488760948181152,0.0011955738067626954
,2.15443,0.1,5,0.6666666666666667,0.0674948557710553,329,0.7333333333333334,0.55,0.6666666666666666,0.7333333333333334,0.65,0.20029616355895996,0.001333761215209961
,2.15443,0.1,10,0.6733333333333333,0.15040685563571304,309,0.9166666666666667,0.7166666666666667,0.65,0.6333333333333333,0.45,0.20036873817443848,0.0012135982513427734
,2.15443,0.1,20,0.7033333333333334,0.16138291249213607,170,0.9,0.8166666666666667,0.43333333333333335,0.7333333333333334,0.6333333333333333,0.2005258560180664,0.0012349605560302735
,2.15443,0.1,50,0.6866666666666666,0.0896908269804914,259,0.7166666666666667,0.8166666666666667,0.7166666666666667,0.55,0.6333333333333333,0.2005406379699707,0.0011971950531005859
,2.15443,0.3,5,0.6100000000000001,0.10624918300339486,485,0.5666666666666667,0.55,0.7333333333333334,0.7333333333333334,0.4666666666666667,0.24567298889160155,0.0012640953063964844
,2.15443,0.3,10,0.7933333333333332,0.08919392106839769,5,0.9166666666666667,0.8166666666666667,0.75,0.8333333333333333,0.65,0.24876675605773926,0.0012356758117675782
,2.15443,0.3,20,0.6933333333333334,0.09225568335398698,218,0.8166666666666667,0.7333333333333334,0.6333333333333333,0.7333333333333334,0.55,0.24782733917236327,0.0012246131896972655
,2.15443,0.3,50,0.6666666666666667,0.09189365834726813,329,0.7166666666666667,0.8166666666666667,0.6166666666666667,0.55,0.6333333333333333,0.24722599983215332,0.0012340545654296875
,2.15443,0.5,5,0.68,0.10402991022884825,288,0.5666666666666667,0.8166666666666667,0.7333333333333334,0.7333333333333334,0.55,0.2649393081665039,0.001248931884765625
,2.15443,0.5,10,0.7,0.10593499054713801,195,0.8333333333333333,0.8166666666666667,0.6333333333333333,0.65,0.5666666666666667,0.2618755340576172,0.001220369338989258
,2.15443,0.5,20,0.6933333333333334,0.14007934259633795,218,0.9,0.8166666666666667,0.6333333333333333,0.5666666666666667,0.55,0.26143341064453124,0.001208019256591797
,2.15443,0.5,50,0.6499999999999999,0.10697871023920807,422,0.7166666666666667,0.8166666666666667,0.5166666666666667,0.5666666666666667,0.6333333333333333,0.26276469230651855,0.0012206077575683595
,2.15443,0.7,5,0.6466666666666667,0.10349449797506681,429,0.5666666666666667,0.8166666666666667,0.5833333333333334,0.7166666666666667,0.55,0.3009028434753418,0.0012318611145019532
,2.15443,0.7,10,0.6599999999999999,0.1681930108205715,368,0.8333333333333333,0.8166666666666667,0.6333333333333333,0.65,0.3666666666666667,0.2996035099029541,0.0012258529663085938
,2.15443,0.7,20,0.6966666666666667,0.1630950643030009,210,0.9,0.8166666666666667,0.55,0.75,0.4666666666666667,0.29964094161987304,0.0012369155883789062
